No.,"Show
on
Web",Prj_#_4_Display,Project Name,Type,Sub Type,Country,Capacity (MW),Length(km),Scope Note,Size,Brown Field / Green Field,Company ,Start Date,Start Year,Regulatory/Govt Approval Date,FID Date,FID Year,Construction Start Year,FID ISD (Date),FID ISD Year,Actual ISD,Actual ISD Year,Implementation Duration,Construction Duration,ISD Variance (Actual vs FID) in Years,Schedule Variance (%),ISD Variance (Actual vs FID) in Years (cal by Dates),Cost Estimate when Started,Cost Variance (Actual vs FID),Cost Variance (Actual vs FID) %,FID Cost (when Approved),FID-Current Year Value,Final Cost,Construction Run Rate,Note,Project Website,Source,,,,,,,,,,,,,,,
31,Yes,Project 31,Plant Vogtle Units 3 & 4 ,Generation,Nuclear Generation,USA,2234,,,15.7,,,,,,,2009,2009,,2017,,2024,15.0,15.0,7.0,87.5%,0.00,,20.7,145%,14.3,,35,1750.0,"First new US nuclear reactors in ~30 years (2×AP1000, ~2,200 MW), Burke County, GA. Unit 3 commercial Jul 2023; Unit 4 commercial Apr 2024. Cost ballooned from $14B (2008) to ~$36.8B — 163% overrun. Currency: USD billions. Confidence: high.",https://www.georgiapower.com/company/energy-mix/nuclear/plant-vogtle.html,https://en.wikipedia.org/wiki/Vogtle_Electric_Generating_Plant,,,,,,,,,,,,,,,
32,Yes,Project 32,Ivanpah Solar Electric Generating System,Generation,Solar,USA,392,,,5.6,Green,,,,,,2010,2010,,2013,,2014,4.0,4.0,1.0,33.3%,0.00,,0.6,38%,1.6,,2.2,412.5,"392 MW concentrated solar thermal (CSP) power plant, Mojave Desert, CA; commercial operation Dec 2013 at ~$2.2B. Backed by $1.6B DOE loan guarantee. Plant facing shutdown ~2026 due to below-expected output and high costs. Currency: USD billions. Confidence: high.",https://www.energy.gov/edf/ivanpah,https://en.wikipedia.org/wiki/Ivanpah_Solar_Power_Facility,,,,,,,,,,,,,,,
33,Yes,Project 33,Topaz Solar Farm ,Generation,Solar,USA,550,,,4.5,Green,,,,,,2011,2011,,2014,,2014,3.0,3.0,0.0,0.0%,0.00,,0,0%,2.5,,2.5,625.0,"550 MW CdTe thin-film PV, San Luis Obispo County, CA; completed Nov 2014 at ~$2.5B. Developed by First Solar; owned by BHE Renewables (Berkshire Hathaway). Backed by $1.3B DOE loan guarantee. Currency: USD billions. Confidence: medium.",https://www.power-technology.com/projects/topaz-solar-farm-california/,https://en.wikipedia.org/wiki/Topaz_Solar_Farm,,,,,,,,,,,,,,,
34,Yes,Project 34,Desert Sunlight Solar Farm ,Generation,Solar,USA,550,,,2.7,Green,,2008,,,,2011,2011,,2015,,2015,4.0,4.0,0.0,0.0%,0.00,,0,0%,1.5,,1.5,281.3,"550 MW CdTe thin-film PV, Riverside County, CA; completed Jan 2015 at ~$1.5B. Owned by NextEra Energy, NRG Energy, and CalPERS. Backed by $1.5B DOE loan guarantees. Currency: USD billions. Confidence: medium.",https://www.firstsolar.com/en/Resources/Projects/Desert-Sunlight-Solar-Farm,https://en.wikipedia.org/wiki/Desert_Sunlight_Solar_Farm,,,,,,,,,,,,,,,
35,Yes,Project 35,Solar Star PV power station,Generation,Solar,USA,579,,,4.7,Green,,,,,,2013,2013,,2015,,2015,2.0,2.0,0.0,0.0%,0.00,,0,0%,2.7,,2.7,1012.5,"579 MW AC SunPower-developed PV farm (Solar Star 1 & 2), Kern/LA Counties, CA; commercial operation Jun 2015 at ~$2B. Owned by BHE Renewables (Berkshire Hathaway). Briefly world's largest solar PV at completion. Currency: USD billions. Confidence: medium.",https://www.berkshirehathawayenergyco.com/,https://en.wikipedia.org/wiki/Solar_Star,,,,,,,,,,,,,,,
36,Yes,Project 36,CPV Three Rivers Energy Center ,Generation,Natural Gas,USA,1250,,,1.0,Green,,,,,,2020,2020,,2023,,2023,3.0,3.0,0.0,0.0%,0.00,,0,0%,1.3,,1.3,325.0,"1,258 MW gas-fired combined cycle (2×GE H-class), Grundy County, IL; commercial operation Aug 2023. Project cost $1.3B. Among the most efficient gas plants in the US at completion. Currency: USD billions. Confidence: high.",https://cpv.com/our-fleet/cpv-three-rivers-energy-center/,https://cpv.com/2023/08/16/commercial-operation-achieved-for-cpv-three-rivers-energy-center/,,,,,,,,,,,,,,,
37,,Project 37,CapX2020,Transmission,Transmission Line,USA,,1300,,0.0,Green,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,"5 transmission lines (~800 miles / 1,300 km of 230–345 kV) across MN, ND, SD, WI; final project completed 2017 at total ~$2.1B. Joint venture of 11 Midwest utilities led by Xcel Energy. Currency: USD billions. Confidence: high.",https://www.capx2020.com/,https://www.tdworld.com/grid-innovations/transmission/article/20970146/final-capx2020-project-complete,,,,,,,,,,,,,,,
38,Yes,Project 38,CREZ transmission,Transmission,Transmission Line,USA,,1614.83,,4.3,Green,,2005,,,,2008,2009,,2013,,2013,5.0,4.0,0.0,0.0%,0.00,,1.97,40%,4.93,,6.9,1035.0,"~3,600 miles of new 345 kV lines across Texas (18,500 MW capacity) to deliver West Texas / Panhandle wind power to load centres; energized end of 2013. Cost rose from $4.9B (original) to ~$6.9B — ~41% overrun, largely from landowner-driven rerouting adding 600 miles. Currency: USD billions. Confidence: high.",https://www.ettexas.com/Projects/TexasCrez,https://www.utilitydive.com/news/texas-crez-lines-delivering-grid-benefits-at-7b-price-tag/278834/,,,,,,,,,,,,,,,
39,Yes,Project 39,Tehachapi Renewable Transmission ,Transmission,Transmission Line,USA,,278,,9.7,Green/Brown,,,,,,2009,2010,,2014,,2016,7.0,6.0,2.0,40.0%,0.00,,0.924,52%,1.785,,2.709,290.3,"173-mile 500 kV AC line (Tehachapi to San Bernardino, CA); Phase 1 completed 2013, full completion Dec 2016. Enables up to 4,500 MW of Tehachapi-area renewables. SCE has not published a consolidated final cost figure; total investment estimated ~$2.7B including contentious Chino Hills underground segment. Currency: USD billions. Confidence: low — no confirmed published total.",https://www.sce.com/about-sce/reliability/projects-in-progress/tehachapi-renewable-transmission-project,https://en.wikipedia.org/wiki/Tehachapi_Renewable_Transmission_Project,,,,,,,,,,,,,,,
40,,Project 40,The Southwest Intertie Project – North (SWIP-North),Transmission,Transmission Line,USA,,458.85,,,Green,,,,,,2023,2025,,2027,,2028,5.0,3.0,1.0,25.0%,0.00,,-1088.77,-100%,1090,,1.23,184.5,"285-mile 500 kV line (Twin Falls, ID to Robinson Summit, NV); construction started Apr 2026, expected completion mid-2028 at ~$1.23B. DOE Transmission Facilitation Program committed $331M. Developer: Great Basin Transmission (LS Power subsidiary). Currency: USD billions. Confidence: medium — under construction.",https://www.lspowergrid.com/utilities/great-basin-transmission/,https://www.lspower.com/news/u-s-department-of-energy-selects-ls-powers-swip-north-project-for-the-transmission-facilitation-program/,,,,,,,,,,,,,,,
41,,Project 41,Boardman to Hemingway (B2H) Transmission Line Project,Transmission,Transmission Line,USA,1000,466.9,500kV ; single circuit,,Green,,,,,,2022,2025,,2027,,,,,,,,,,,1.6,,,#DIV/0!,"~290-mile 500 kV line (Boardman, OR to Hemingway, ID); construction started Aug 2025, expected completion 2027 at ~$1.0–1.2B. Jointly owned PacifiCorp (55%) / Idaho Power (45%). Over 20 years in permitting. Currency: USD billions. Confidence: medium — under construction.",https://www.boardmantohemingway.com/,https://www.pacificorp.com/about/newsroom/news-releases/boardman-to-hemingway-transmission.html,,,,,,,,,,,,,,,
42,,Project 42,Champlain Hudson Power Express (CHPE),Transmission,Transmission Line,USA,1250,546,,15.0,Green,,,,,,2022,2022,,2026,,2026,4.0,4.0,0.0,0.0%,0.00,,2.2,37%,6,,8.2,1537.5,"339-mile underground/underwater HVDC line delivering 1,250 MW of Quebec hydropower to NYC; became fully operational 13 May 2026 — ahead of schedule. All major construction completed Jan 2026. Total cost ~$4.5B; NY section ~$2.2B. Currency: USD billions. Confidence: high.",https://chpexpress.com/,https://en.wikipedia.org/wiki/Champlain_Hudson_Power_Express,,,,,,,,,,,,,,,
43,Yes,Project 43,LNG Canada Phase 1 (Kitimat Plant),Generation,LNG,Canada,,,"1.8 Bcf/d LNG liquefaction/export terminal, 2 trains, Kitimat BC; exports to Asia Pacific markets",14,Green,"LNG Canada JV (Shell, PETRONAS, PetroChina, Mitsubishi, Korea Gas)",,2012,,2018-10-01 0:00:00,2018,2018,2024-12-31 0:00:00,2024,2025-06-30 0:00:00,2025,,,,,,,,,18,,23,,First cargo 30 Jun 2025; train 2 online Nov 2025. Final cost approximate (~29% over FID per IEEFA). Currency: CAD billions. Confidence: medium — verify against Shell investor reports.,https://www.lngcanada.ca/,https://www.lngcanada.ca/news/first-cargo-puts-canada-on-the-map-of-lng-exporting-nations/,,,,,,,,,,,,,,,
44,Yes,Project 44,TSMC Arizona Fab 21 Phase 1,Manufacturing,Semiconductor Fab,USA,,,"4nm/3nm semiconductor fab (Fab 21 Phase 1), Phoenix AZ; ~21,000 wafers/month capacity",,Green,TSMC,,2020,,2020-05-15 0:00:00,2020,2021,2024-01-01 0:00:00,2024,2025-01-15 0:00:00,2025,,,,,,,,,12,,20,,Mass production began Q4 2024; high-volume shipments to US customers Jan 2025. Phase 1 only of much larger $165B AZ program. Final cost approximate. Currency: USD billions.,https://www.tsmc.com/static/abouttsmcaz/index.htm,https://en.wikipedia.org/wiki/TSMC_Arizona,,,,,,,,,,,,,,,
45,Yes,Project 45,Toyota Battery Manufacturing North Carolina (TBMNC),Manufacturing,Battery Manufacturing,USA,,,"EV battery manufacturing facility in Liberty NC (Randolph County); 1,200 MWh/year initial capacity",30,Green,Toyota Battery Manufacturing North America,,2021,,2021-12-06 0:00:00,2021,2022,2025-01-01 0:00:00,2025,2025-04-01 0:00:00,2025,,,,,,,,,13.9,,13.9,,"Production started 2025 in Liberty, NC (Randolph County). Toyota has stated total committed investment of $13.9B. Currency: USD billions.",https://pressroom.toyota.com/toyota-charges-into-u-s-battery-manufacturing/,https://pressroom.toyota.com/toyota-charges-into-u-s-battery-manufacturing/,,,,,,,,,,,,,,,
46,Yes,Project 46,Hyundai Motor Group Metaplant America (HMGMA),Manufacturing,Auto Manufacturing,USA,,,"300,000 EV/year manufacturing plant + battery JV (LGES), Bryan County GA; 8.2M sqft facility",300000,Green,Hyundai Motor Group,,2022,,2022-05-20 0:00:00,2022,2022,2025-01-01 0:00:00,2025,2025-03-26 0:00:00,2025,,,,,,,,,12.6,,12.6,,Grand opening 26 Mar 2025; first IONIQ 5 rolled off line 3 Oct 2024. $7.6B plant + $4.3B battery JV + adjacent investments. Currency: USD billions.,https://www.hmgma.com/,"https://www.hyundai.com/worldwide/en/newsroom/detail/hyundai-motor-group-metaplant-america-celebrates-grand-opening,-powering-u.s.-economic-growth-0000000920",,,,,,,,,,,,,,,
47,Yes,Project 47,LA Metro D Line (Purple) Subway Extension Section 1,Railway,Subway,USA,,6.3,"3.9-mile heavy rail subway extension (Wilshire corridor); 3 underground stations: Wilshire/La Cienega, Wilshire/Rodeo, Century City/Constellation",3,Brown,Los Angeles County Metropolitan Transportation Authority,,2014,,2014-11-07 0:00:00,2014,2014,2023-12-31 0:00:00,2023,2026-05-08 0:00:00,2026,,,,,,,,,2.8,,3.35,,Opens 8 May 2026. Cost overruns: $200M (2020) + $150M (2021) + $225M (2024) + $154M (2025). Currency: USD billions.,https://www.metro.net/projects/purple-section1/,https://en.wikipedia.org/wiki/D_Line_Extension,,,,,,,,,,,,,,,
